8M央视频道,#genre#
广东卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
深圳卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
山东卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
天津卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
东南卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
黑龙江卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls
湖北卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
江西卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls
辽宁卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls
重庆卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls
安徽卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
河北卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
河南卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
贵州卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls
吉林卫视 FHD,http://39.135.19.142:18890/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls
动画频道,#genre#
动画王国,http://39.135.19.142:18890/PLTV/88888888/224/3221225785/1/index.m3u8?fmt=ts2hls
优漫卡通,http://39.135.19.142:18890/PLTV/88888888/224/3221225763/1/index.m3u8?fmt=ts2hls
嘉佳卡通,http://39.135.19.142:18890/PLTV/88888888/224/3221225690/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.19.142:18890/PLTV/88888888/224/3221225731/1/index.m3u8?fmt=ts2hls
北京卡酷,http://39.135.19.142:18890/PLTV/88888888/224/3221225732/1/index.m3u8?fmt=ts2hls
哈哈炫动,http://39.135.19.142:18890/PLTV/88888888/224/3221225689/1/index.m3u8?fmt=ts2hls
央视频道,#genre#
CCTV 1,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000210103.m3u8
CCTV 2,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203603.m3u8
CCTV 3,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203803.m3u8
CCTV 4,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204803.m3u8
CCTV 5,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000205103.m3u8
CCTV 5+,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204503.m3u8
CCTV 6,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203303.m3u8
CCTV 7,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000510003.m3u8
CCTV 8,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203903.m3u8
CCTV 9,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000499403.m3u8
CCTV 10,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203503.m3u8
CCTV 11,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204103.m3u8
CCTV 12,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000202603.m3u8
CCTV 13,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204603.m3u8
CCTV 14,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204403.m3u8
CCTV 15,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000205003.m3u8
CCTV 17,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204203.m3u8
超高清 4K,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000266303.m3u8
CGTN,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2001656801.m3u8
卫视频道,#genre#
湖南卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000296203.m3u8
东方卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292403.m3u8
黑龙江卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000293903.m3u8
广东卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292703.m3u8
深圳卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292203.m3u8
江苏卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000295603.m3u8
浙江卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000295503.m3u8
江苏卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000295603.m3u8
深圳卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292201.m3u8
北京卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000272101.m3u8
海南卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000291501.m3u8
山东卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294801.m3u8
江西卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294101.m3u8
湖北卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294501.m3u8
河南卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000296101.m3u8
河北卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000293401.m3u8
贵州卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000293301.m3u8
东南卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292501.m3u8
广西卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294201.m3u8
四川卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000295001.m3u8
辽宁卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000281301.m3u8
重庆卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000297801.m3u8
安徽卫视,http://120.204.4.120/outlivecloud-cdn.ysp.cctv.cn/cctv/2000298001.m3u8
